jeppekofod,1413097937803124736,2021-07-08 11:29:37,"b'RT @Tsihanouskaya: I was glad to welcome \xf0\x9f\x87\xa9\xf0\x9f\x87\xb0 FM @JeppeKofod in Vilnius today. I shared my concerns on repressions against independent media,\xe2\x80\xa6'"
jeppekofod,1413088900856360960,2021-07-08 10:53:42,b'RT @MarijaPBuric: Thanks @JeppeKofod @DanishMFA for a very fruitful discussion this morning in #Vilnius @coe / Merci @JeppeKofod @DanishMFA\xe2\x80\xa6'
jeppekofod,1412894857241182211,2021-07-07 22:02:38,b'RT @DominicRaab: Huge credit to the Danish team. What guts and determination - true to form. Looking forward to the final on Sunday - come\xe2\x80\xa6'
jeppekofod,1412889843428954119,2021-07-07 21:42:43,"b'What a match, what a roller coaster!\n\nWhat a beautiful performance by the #DEN team. You are all heroes and we coul\xe2\x80\xa6 https://t.co/kPfD1uYGN2'"
jeppekofod,1412823817660030977,2021-07-07 17:20:21,b'RT @DominicRaab: You\xe2\x80\x99re on my friend - looking forward to a great match!'
jeppekofod,1412818483843416070,2021-07-07 16:59:10,"b'#DEN #ENG \n\nDenmark &amp; England agree on most things:\n\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbfFlags are red &amp; white,\n\xf0\x9f\x91\xb8Queens rule,\n\xe2\x9a\xbd\xef\xb8\x8fand tonight at\xe2\x80\xa6 https://t.co/zCjWjWTT0E'"
jeppekofod,1412803944141688836,2021-07-07 16:01:23,"b'\xe2\x80\x9cPlease don\xe2\x80\x99t forget us. Don\xe2\x80\x99t forget Belarus!\xe2\x80\x9d\n\nAn important reminder for Europe from Belarusian students, I had t\xe2\x80\xa6 https://t.co/4CznCrY7SV'"
jeppekofod,1412680745252962305,2021-07-07 07:51:50,"b""RT @DanishMFA: I dag er @JeppeKofod rejst til Litauen for at presse p\xc3\xa5 for reformer i Ukraine. Her m\xc3\xb8dte han \xf0\x9f\x87\xba\xf0\x9f\x87\xa6's pr\xc3\xa6sident @ZelenskyyUa.\xe2\x80\xa6"""
jeppekofod,1412663146314076169,2021-07-07 06:41:54,b'RT @DKAMBinLT: #Ukraine Reform Conference is taking place in #Vilnius 7-8 July. Danish Minister for Foreign Affairs @JeppeKofod is particip\xe2\x80\xa6'
jeppekofod,1410955320646643717,2021-07-02 13:35:37,b'RT @DanishMFA: \xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0Denne uge bes\xc3\xb8gte udenrigsminister @JeppeKofod Marokko for at knytte endnu t\xc3\xa6ttere b\xc3\xa5nd mellem vores to lande. Her var b\xe2\x80\xa6'
jeppekofod,1410678006532784129,2021-07-01 19:13:40,b'RT @OliverVarhelyi: Warm welcome to this important gesture by #Denmark and a significant contribution to the vaccination campaigns in our #\xe2\x80\xa6'
jeppekofod,1410630265198743553,2021-07-01 16:03:58,b'RT @AlEmbDenmark: Tusind tak Danmark @JeppeKofod @OltaXhacka @DanishMFA @AlbanianDiplo for the precious support to Albania and to countries\xe2\x80\xa6'
jeppekofod,1410613774080376838,2021-07-01 14:58:26,b'RT @Bujar_O: \xe2\x98\x8e\xef\xb8\x8f\xc2\xa0 Had a phone conversation w/ my dear \xf0\x9f\x87\xa9\xf0\x9f\x87\xb0 collegue @JeppeKofod announcing me the excellent news to deliver 1M #COVID19 vaccin\xe2\x80\xa6'
jeppekofod,1410613538742099974,2021-07-01 14:57:30,"b'\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xf0\x9f\x87\xa6\xf0\x9f\x87\xb1\xf0\x9f\x87\xa7\xf0\x9f\x87\xa6\xf0\x9f\x87\xbd\xf0\x9f\x87\xb0\xf0\x9f\x87\xb2\xf0\x9f\x87\xb0\xf0\x9f\x92\x89\nVores naboer p\xc3\xa5 Balkan oplever en stor vaccinemangel, som b\xc3\xa5de belaster de enkelte samfund og \xc3\xb8ger risi\xe2\x80\xa6 https://t.co/UM31zLgltA'"
jeppekofod,1410552247671529480,2021-07-01 10:53:57,b'Very concerned about ongoing crisis in #Eswatini \xf0\x9f\x87\xb8\xf0\x9f\x87\xbf\n\nCall for restraint. Peaceful demonstrations must be respected\xe2\x80\xa6 https://t.co/gOKy91lslk'
jeppekofod,1410290476587102213,2021-06-30 17:33:46,"b'\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xe2\x9a\x93\xef\xb8\x8fStor forn\xc3\xb8jelse at bes\xc3\xb8ge Tanger havn i eftermiddag, hvor @Maersk er hovedinvestor med 5 mia kr. #dkbiz er me\xe2\x80\xa6 https://t.co/GKtWSX3zGm'"
