,Name,Party,MP,Twitter_id,Følgere
69,Jacob Jensen,Venstre (V),Medlem af Folketinget,@jacobjensenMF,4.462
70,Michael Aastrup Jensen,Venstre (V),Medlem af Folketinget,@michaelaastrup,6.834
71,Peter Juel-Jensen,Venstre (V),Medlem af Folketinget,@PeterJuelJensen,None
72,Jan E. Jørgensen,Venstre (V),Medlem af Folketinget,@JanEJoergensen,17.444
73,Carsten Kissmeyer,Venstre (V),Medlem af Folketinget,@CKissmeyer,545
74,Stén Knuth,Venstre (V),Medlem af Folketinget,@Sten_Knuth,None
75,Karsten Lauritzen,Venstre (V),Medlem af Folketinget,@StemLAURITZEN,15.936
76,Lars Christian Lilleholt,Venstre (V),Medlem af Folketinget,@larsclilleholt,None
77,Kristian Pihl Lorentzen,Venstre (V),Medlem af Folketinget,@kplorentzen,None
78,Sophie Løhde,Venstre (V),Medlem af Folketinget,@sophieloehde,24.874
79,Anni Matthiesen,Venstre (V),Medlem af Folketinget,@AnniMatthiesen,3.142
80,Christoffer Aagaard Melson,Venstre (V),Medlem af Folketinget,None,None
81,Kenneth Mikkelsen,Venstre (V),Medlem af Folketinget,None,None
82,Ellen Trane Nørby,Venstre (V),Medlem af Folketinget,@EllenTraneNorby,27.129
83,Torsten Schack Pedersen,Venstre (V),Medlem af Folketinget,@Torstenschack,None
84,Troels Lund Poulsen,Venstre (V),Medlem af Folketinget,@troelslundp,6.832
85,Hans Christian Schmidt,Venstre (V),Medlem af Folketinget,@HaChrSchmidt,618
86,Ulla Tørnæs,Venstre (V),Medlem af Folketinget,@Ulla_Tornaes,6.937
87,Kim Valentin,Venstre (V),Medlem af Folketinget,@kimvalentinDK,727
88,Fatma Øktem,Venstre (V),Medlem af Folketinget,@fatmaoektem,4.292
89,Karina Adsbøl,Dansk Folkeparti (DF),Medlem af Folketinget,@AdsbolAdsbl,2.885
90,Alex Ahrendtsen,Dansk Folkeparti (DF),Medlem af Folketinget,None,None
91,Lise Bech,Dansk Folkeparti (DF),Medlem af Folketinget,@LiseBech,None
92,Liselott Blixt,Dansk Folkeparti (DF),Medlem af Folketinget,@Blixt22,6.843
93,Bent Bøgsted,Dansk Folkeparti (DF),Medlem af Folketinget,@BentGsted,136
94,René Christensen,Dansk Folkeparti (DF),Medlem af Folketinget,None,None
95,Jens Henrik Thulesen Dahl,Dansk Folkeparti (DF),Medlem af Folketinget,@JThulesen,None
96,Kristian Thulesen Dahl,Dansk Folkeparti (DF),Medlem af Folketinget,@Kristianthdahl,16.827
97,Mette Hjermind Dencker,Dansk Folkeparti (DF),Medlem af Folketinget,@dfmehd_mette,None
98,Søren Espersen,Dansk Folkeparti (DF),Medlem af Folketinget,@espersendf,12.040
99,Dennis Flydtkjær,Dansk Folkeparti (DF),Medlem af Folketinget,@flydtkjaer,3.282
100,Pia Kjærsgaard,Dansk Folkeparti (DF),Medlem af Folketinget,@Pia_Kjaersgaard,12.773
101,Marie Krarup,Dansk Folkeparti (DF),Medlem af Folketinget,@MarieKrarup,4.924
102,Morten Messerschmidt,Dansk Folkeparti (DF),Medlem af Folketinget,@MrMesserschmidt,27.870
103,Hans Kristian Skibby,Dansk Folkeparti (DF),Medlem af Folketinget,@Hans_Kr_Skibby,2.833
104,Peter Skaarup,Dansk Folkeparti (DF),Medlem af Folketinget,@skaarup_df,14.146
105,Kirsten Normann Andersen,Socialistisk Folkeparti (SF),Medlem af Folketinget,@KirstenNormann,None
106,Lisbeth Bech-Nielsen,Socialistisk Folkeparti (SF),Medlem af Folketinget,@LisbethBNielsen,10.453
107,Anne Valentina Berthelsen,Socialistisk Folkeparti (SF),Medlem af Folketinget,@AnneValentina,1.786
108,Astrid Carøe,Socialistisk Folkeparti (SF),Medlem af Folketinget,@AstridCaroee,1.866
109,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti (SF),Medlem af Folketinget,@MF_K_Lorentzen,None
110,Pia Olsen Dyhr,Socialistisk Folkeparti (SF),Medlem af Folketinget,@PiaOlsen,56.368
111,Karsten Hønge,Socialistisk Folkeparti (SF),Medlem af Folketinget,@khoenge,8.200
112,Jacob Mark,Socialistisk Folkeparti (SF),Medlem af Folketinget,@jacobmark_sf,15.498
113,Signe Munk,Socialistisk Folkeparti (SF),Medlem af Folketinget,@signe_munk,4.542
114,Charlotte Broman Mølbæk,Socialistisk Folkeparti (SF),Medlem af Folketinget,@charlottebroman,None
115,Rasmus Nordqvist,Socialistisk Folkeparti (SF),Medlem af Folketinget,@rasmusnordqvist,None
116,Halime Oguz,Socialistisk Folkeparti (SF),Medlem af Folketinget,@Halime9Oguz,761
117,Ina Strøjer-Schmidt,Socialistisk Folkeparti (SF),Medlem af Folketinget,None,None
118,Trine Torp,Socialistisk Folkeparti (SF),Medlem af Folketinget,@TrineTorp,None
119,Carl Valentin,Socialistisk Folkeparti (SF),Medlem af Folketinget,@Carl__Valentin,4.072
120,Anne Sophie Callesen,Radikale Venstre (RV),Medlem af Folketinget,@FrkCallesen,1.625
121,Kristian Hegaard,Radikale Venstre (RV),Medlem af Folketinget,@KHegaard,11.911
122,Marianne Jelved,Radikale Venstre (RV),Medlem af Folketinget,@mariannejelved,5.583
123,Susan Kronborg,Radikale Venstre (RV),Medlem af Folketinget,@kronborgsusan,242
124,Martin Lidegaard,Radikale Venstre (RV),Medlem af Folketinget,@martinlidegaard,24.094
125,Stinus Lindgreen,Radikale Venstre (RV),Medlem af Folketinget,@stinuslindgreen,8.283
126,Samira Nawa,Radikale Venstre (RV),Medlem af Folketinget,@SamiraNawa,6.169
127,Sofie Carsten Nielsen,Radikale Venstre (RV),Medlem af Folketinget,@sofiecn,None
128,Kathrine Olldag,Radikale Venstre (RV),Medlem af Folketinget,@KathrineOlldag,1.546
129,Rasmus Helveg Petersen,Radikale Venstre (RV),Medlem af Folketinget,@rasmushelveg,None
130,Katrine Robsøe,Radikale Venstre (RV),Medlem af Folketinget,@KatrineRobsoe,2.359
131,Lotte Rod,Radikale Venstre (RV),Medlem af Folketinget,@LotteRod,12.475
132,Zenia Stampe,Radikale Venstre (RV),Medlem af Folketinget,@zeniastampe,20.643
133,Andreas Steenberg,Radikale Venstre (RV),Medlem af Folketinget,@a_steenberg,6.779
134,Eva Flyvholm,Enhedslisten (EL),Medlem af Folketinget,@EvaFlyvholm,3.072
135,Jette Gottlieb,Enhedslisten (EL),Medlem af Folketinget,None,None
136,Peder Hvelplund,Enhedslisten (EL),Medlem af Folketinget,@pederhvelplund,3.003
137,Henning Hyllested,Enhedslisten (EL),Medlem af Folketinget,None,None
138,Christian Juhl,Enhedslisten (EL),Medlem af Folketinget,@ChristianJuhl2,3.320
139,Rune Lund,Enhedslisten (EL),Medlem af Folketinget,@RuneLundEL,3.498
140,Rosa Lund,Enhedslisten (EL),Medlem af Folketinget,@RosaLundEl,13.099
141,Søren Egge Rasmussen,Enhedslisten (EL),Medlem af Folketinget,@SorenEggeRasmus,1.853
142,Pernille Skipper,Enhedslisten (EL),Medlem af Folketinget,@PSkipperEL,82.871
143,Jakob Sølvhøj,Enhedslisten (EL),Medlem af Folketinget,@JakobSoelvhoej,2.810
144,Søren Søndergaard,Enhedslisten (EL),Medlem af Folketinget,@SrenSndergaard3,2.755
145,Victoria Velasquez,Enhedslisten (EL),Medlem af Folketinget,@VictoriaV_EL,None
146,Mai Villadsen,Enhedslisten (EL),Medlem af Folketinget,@MaiVilladsen,8.233
147,Mette Abildgaard,Det Konservative Folkeparti (KF),Medlem af Folketinget,@metteabildgaard,15.835
148,Katarina Ammitzbøll,Det Konservative Folkeparti (KF),Medlem af Folketinget,@Ammitzboell_K,None
149,Mads  Andersen,Det Konservative Folkeparti (KF),Stedfortræder,None,None
