,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,Erling Bonnesen,Venstre (V),Blue,Medlem af Folketinget,@ErlingBonnesen,1.345,1,194
1,Morten Dahlin,Venstre (V),Blue,Medlem af Folketinget,@MortenDahlin,4.711,1,1279
2,Thomas Danielsen,Venstre (V),Blue,Medlem af Folketinget,@ThDanielsen,3.632,1,387
3,Louise Schack Elholm,Venstre (V),Blue,Medlem af Folketinget,@LouiseElholm,3.603,1,523
4,Karen Ellemann,Venstre (V),Blue,Medlem af Folketinget,@EllemannKaren,5.885,1,254
5,Jakob Ellemann-Jensen,Venstre (V),Blue,Medlem af Folketinget,@JakobEllemann,44.714,1,437
6,Mads  Fuglede,Venstre (V),Blue,Medlem af Folketinget,@madsfuglede,5.818,1,282
7,Martin Geertsen,Venstre (V),Blue,Medlem af Folketinget,@Martin_Geertsen,6.914,1,1253
8,Eva Kjer Hansen,Venstre (V),Blue,Medlem af Folketinget,@EvaKjerHansen,3.521,1,77
9,Jane Heitmann,Venstre (V),Blue,Medlem af Folketinget,@JaneHeitmann,4.815,1,1269
10,Anne Honoré Østergaard,Venstre (V),Blue,Medlem af Folketinget,@AnneStergaa,608,1,91
11,Bertel Haarder,Venstre (V),Blue,Medlem af Folketinget,@BHaarder,5.711,1,11
12,Jacob Jensen,Venstre (V),Blue,Medlem af Folketinget,@jacobjensenMF,4.462,1,458
13,Michael Aastrup Jensen,Venstre (V),Blue,Medlem af Folketinget,@michaelaastrup,6.834,1,1531
14,Peter Juel-Jensen,Venstre (V),Blue,Medlem af Folketinget,@PeterJuelJensen,1.171,1,12
15,Jan E. Jørgensen,Venstre (V),Blue,Medlem af Folketinget,@JanEJoergensen,17.444,1,441
16,Carsten Kissmeyer,Venstre (V),Blue,Medlem af Folketinget,@CKissmeyer,545,1,9
17,Stén Knuth,Venstre (V),Blue,Medlem af Folketinget,@Sten_Knuth,None,1,1401
18,Karsten Lauritzen,Venstre (V),Blue,Medlem af Folketinget,@StemLAURITZEN,15.936,1,1049
19,Lars Christian Lilleholt,Venstre (V),Blue,Medlem af Folketinget,@larsclilleholt,6.502,1,793
20,Kristian Pihl Lorentzen,Venstre (V),Blue,Medlem af Folketinget,@kplorentzen,None,1,326
21,Sophie Løhde,Venstre (V),Blue,Medlem af Folketinget,@sophieloehde,24.874,1,88
22,Anni Matthiesen,Venstre (V),Blue,Medlem af Folketinget,@AnniMatthiesen,3.142,1,652
23,Christoffer Aagaard Melson,Venstre (V),Blue,Medlem af Folketinget,@ChristofferMels,943,1,118
24,Ellen Trane Nørby,Venstre (V),Blue,Medlem af Folketinget,@EllenTraneNorby,27.129,1,246
25,Torsten Schack Pedersen,Venstre (V),Blue,Medlem af Folketinget,@Torstenschack,7.068,1,1064
26,Troels Lund Poulsen,Venstre (V),Blue,Medlem af Folketinget,@troelslundp,6.832,1,122
27,Hans Christian Schmidt,Venstre (V),Blue,Medlem af Folketinget,@HaChrSchmidt,618,1,2
28,Ulla Tørnæs,Venstre (V),Blue,Medlem af Folketinget,@Ulla_Tornaes,6.937,1,564
29,Kim Valentin,Venstre (V),Blue,Medlem af Folketinget,@kimvalentinDK,727,1,743
