,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,Dan Jørgensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@DanJoergensen,37.471,0,712
1,Kasper Sand Kjær,Socialdemokratiet (S),Red,Medlem af Folketinget,@SandKjaer,3.514,0,679
2,Simon Kollerup,Socialdemokratiet (S),Red,Medlem af Folketinget,@simonkollerup,8.965,0,726
3,Astrid Krag,Socialdemokratiet (S),Red,Medlem af Folketinget,@Astridkrag,21.375,0,1400
4,Anders Kronborg,Socialdemokratiet (S),Red,Medlem af Folketinget,@AndersKronborg,1.289,0,888
5,Rasmus Horn Langhoff,Socialdemokratiet (S),Red,Medlem af Folketinget,@rasmushorn,7.152,0,175
6,Malte Larsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@MalteLarsen,530,0,115
7,Tanja Larsson,Socialdemokratiet (S),Red,Medlem af Folketinget,@LarssonTanja,273,0,31
8,Bjarne Laustsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Bjarne_Laustsen,404,0,0
9,Annette Lind,Socialdemokratiet (S),Red,Medlem af Folketinget,@annette_lind,1.844,0,65
10,Christian Rabjerg Madsen,Socialdemokratiet (S),Red,Medlem af Folketinget,@RabjergMadsen,None,0,748
11,Flemming Møller Mortensen,Socialdemokratiet (S),Red,Medlem af Folketinget,@FlemmingMM,2.685,0,55
12,Anne Paulin,Socialdemokratiet (S),Red,Medlem af Folketinget,@Paulin_Anne,1.861,0,418
13,Jesper Petersen,Socialdemokratiet (S),Red,Medlem af Folketinget,@Jesper_Pet,13.442,0,567
14,Rasmus Prehn,Socialdemokratiet (S),Red,Medlem af Folketinget,@RasmusPrehn,15.090,0,1520
15,Lars Aslan Rasmussen,Socialdemokratiet (S),Red,Medlem af Folketinget,@lars_aslan,198.345,0,1030
16,Troels Ravn,Socialdemokratiet (S),Red,Medlem af Folketinget,@RavnTroels,1.193,0,139
17,Pernille Rosenkrantz-Theil,Socialdemokratiet (S),Red,Medlem af Folketinget,@RosenkrantzT,None,0,816
18,Kasper Roug,Socialdemokratiet (S),Red,Medlem af Folketinget,@KasperRoug,None,0,29
19,Julie Skovsby,Socialdemokratiet (S),Red,Medlem af Folketinget,@JulieSkovsby,2.253,0,301
20,Rasmus Stoklund,Socialdemokratiet (S),Red,Medlem af Folketinget,@RStoklund,3.832,0,835
21,Mattias Tesfaye,Socialdemokratiet (S),Red,Medlem af Folketinget,@mattiastesfaye,30.231,0,676
22,Birgitte Vind,Socialdemokratiet (S),Red,Medlem af Folketinget,@birgitte_vind,961,0,459
23,Nicolai Wammen,Socialdemokratiet (S),Red,Medlem af Folketinget,@NWammen,6.982,0,506
24,Lea Wermelin,Socialdemokratiet (S),Red,Medlem af Folketinget,@LeaWermelin,7.389,0,548
25,Tommy Ahlers,Venstre (V),Blue,Medlem af Folketinget,@aahlers,25.521,1,391
26,Marlene Ambo-Rasmussen,Venstre (V),Blue,Medlem af Folketinget,@MarleneAmbo,966,1,157
27,Hans Andersen,Venstre (V),Blue,Medlem af Folketinget,@HansAndersenV,4.811,1,1205
28,Heidi Bank,Venstre (V),Blue,Medlem af Folketinget,@bankHeidi,807,1,93
29,Marie Bjerre,Venstre (V),Blue,Medlem af Folketinget,@marie_bjerre,1.673,1,134
